interpro	GO	Class	Source
IPR021918		Skipped	frequent_missing
IPR021818		Skipped	frequent_missing
IPR020850		Skipped	frequent_missing
IPR019559		Skipped	frequent_missing
IPR019558		Skipped	frequent_missing
IPR018501		Skipped	frequent_missing
IPR018500		Skipped	frequent_missing
IPR017946		Skipped	frequent_missing
IPR016158		Skipped	frequent_missing
IPR016035		Skipped	frequent_missing
IPR015947		Skipped	frequent_missing
IPR014935		Skipped	frequent_missing
IPR014836		Skipped	frequent_missing
IPR014811		Skipped	frequent_missing
IPR014772		Skipped	frequent_missing
IPR014770		Skipped	frequent_missing
IPR013602		Skipped	frequent_missing
IPR013594		Skipped	frequent_missing
IPR012990		Skipped	frequent_missing
IPR012603		Skipped	frequent_missing
IPR011053		Skipped	frequent_missing
IPR010579		Skipped	frequent_missing
IPR010011		Skipped	frequent_missing
IPR009091		Skipped	frequent_missing
IPR009001		Skipped	frequent_missing
IPR009000		Skipped	frequent_missing
IPR008955		Skipped	frequent_missing
IPR008942		Skipped	frequent_missing
IPR006900		Skipped	frequent_missing
IPR006896		Skipped	frequent_missing
IPR006821		Skipped	frequent_missing
IPR005135		Skipped	frequent_missing
IPR005108		Skipped	frequent_missing
IPR004328		Skipped	frequent_missing
IPR004273		Skipped	frequent_missing
IPR004182		Skipped	frequent_missing
IPR004170		Skipped	frequent_missing
IPR004161		Skipped	frequent_missing
IPR004160		Skipped	frequent_missing
IPR004022		Skipped	frequent_missing
IPR002498		Skipped	frequent_missing
IPR001711		Skipped	frequent_missing
IPR000909		Skipped	frequent_missing
IPR000300		Skipped	frequent_missing
IPR019486		Skipped	frequent_missing
IPR018459		Skipped	frequent_missing
IPR014720		Skipped	frequent_missing
IPR012340		Skipped	frequent_missing
IPR012317		Skipped	frequent_missing
IPR003347		Skipped	frequent_missing
IPR002999		Skipped	frequent_missing
IPR002219		Skipped	frequent_missing
IPR002190		Skipped	frequent_missing
IPR001251		Skipped	frequent_missing
IPR000313		Skipped	frequent_missing
IPR000195		Skipped	frequent_missing
IPR027357		Skipped	frequent_missing
IPR027007		Skipped	frequent_missing
IPR026831		Skipped	frequent_missing
IPR022735		Skipped	frequent_missing
IPR015425		Skipped	frequent_missing
IPR014847		Skipped	frequent_missing
IPR014799		Skipped	frequent_missing
IPR014009		Skipped	frequent_missing
IPR013548		Skipped	frequent_missing
IPR011033		Skipped	frequent_missing
IPR010703		Skipped	frequent_missing
IPR009071		Skipped	frequent_missing
IPR008936		Skipped	frequent_missing
IPR004012		Skipped	frequent_missing
IPR003889		Skipped	frequent_missing
IPR003888		Skipped	frequent_missing
IPR003034		Skipped	frequent_missing
IPR001936		Skipped	frequent_missing
IPR001357		Skipped	frequent_missing
IPR000938		Skipped	frequent_missing
IPR000906		Skipped	frequent_missing
IPR000198		Skipped	frequent_missing
IPR000095		Skipped	frequent_missing
IPR018316		Skipped	frequent_missing
IPR016159		Skipped	frequent_missing
IPR023780		Skipped	frequent_missing
IPR023298		Skipped	frequent_missing
IPR014014		Skipped	frequent_missing
IPR011709		Skipped	frequent_missing
IPR011539		Skipped	frequent_missing
IPR029060		Skipped	frequent_missing
IPR024678		Skipped	frequent_missing
IPR013809		Skipped	frequent_missing
IPR004367		Skipped	frequent_missing
IPR003008		Skipped	frequent_missing
IPR027409		Skipped	frequent_missing
IPR021893		Skipped	frequent_missing
IPR016185		Skipped	frequent_missing
IPR016137		Skipped	frequent_missing
IPR014722		Skipped	frequent_missing
IPR013767		Skipped	frequent_missing
IPR011417		Skipped	frequent_missing
IPR010660		Skipped	frequent_missing
IPR010472		Skipped	frequent_missing
IPR006576		Skipped	frequent_missing
IPR005533		Skipped	frequent_missing
IPR004154		Skipped	frequent_missing
IPR004148		Skipped	frequent_missing
IPR003894		Skipped	frequent_missing
IPR003891		Skipped	frequent_missing
IPR003650		Skipped	frequent_missing
IPR003605		Skipped	frequent_missing
IPR003350		Skipped	frequent_missing
IPR003165		Skipped	frequent_missing
IPR003130		Skipped	frequent_missing
IPR002867		Skipped	frequent_missing
IPR002710		Skipped	frequent_missing
IPR002589		Skipped	frequent_missing
IPR001763		Skipped	frequent_missing
IPR001739		Skipped	frequent_missing
IPR001594		Skipped	frequent_missing
IPR000756		Skipped	frequent_missing
IPR000375		Skipped	frequent_missing
